PROSPECTID,MARITALSTATUS,EDUCATION,AGE,GENDER,NETMONTHLYINCOME,Time_With_Curr_Empr,pct_of_active_TLs_ever,PL_Flag,pct_PL_enq_L6m_of_ever,HL_Flag,GL_Flag,last_prod_enq2,Credit_Score
47381,Married,POST-GRADUATE,33,M,43000,45,0.375,0,0.0,1,0,others,671
1965,Married,GRADUATE,63,M,45000,369,0.667,0,0.0,0,1,AL,752
5811,Married,GRADUATE,30,M,40000,188,0.5,0,0.333,0,0,ConsumerLoan,662
39780,Married,GRADUATE,55,M,28000,136,0.333,0,0.0,0,0,CC,721
31367,Married,GRADUATE,30,F,43000,188,0.667,1,0.0,0,0,ConsumerLoan,681
21745,Married,12TH,32,M,25000,139,1.0,0,1.0,0,0,ConsumerLoan,645
38510,Married,12TH,26,M,21000,82,0.0,0,0.0,0,0,others,685
28626,Married,SSC,47,F,30000,26,0.714,0,0.0,0,0,others,692
48809,Married,12TH,26,M,23000,54,0.2,0,0.0,1,0,others,695
35744,Married,SSC,35,F,18000,54,0.444,0,1.0,1,0,PL,680
4576,Single,OTHERS,23,M,20000,54,1.0,1,1.0,0,0,others,653
12930,Married,GRADUATE,49,M,24000,131,0.0,0,0.0,0,0,ConsumerLoan,710
16858,Single,GRADUATE,27,M,15000,22,0.0,0,0.0,0,0,ConsumerLoan,658
50852,Married,SSC,36,M,20000,224,0.6,1,0.0,0,0,ConsumerLoan,682
10398,Single,GRADUATE,21,M,40000,63,1.0,0,0.0,0,0,others,672
18248,Married,SSC,32,F,20000,67,0.5,0,0.0,0,0,others,690
28099,Married,12TH,37,M,20000,74,0.286,0,0.0,1,0,others,696
22055,Married,POST-GRADUATE,27,M,35000,38,0.143,0,0.0,1,0,ConsumerLoan,663
22627,Single,SSC,28,M,15000,62,1.0,0,0.0,0,0,ConsumerLoan,690
2120,Married,GRADUATE,47,M,22000,78,0.0,0,0.0,0,0,ConsumerLoan,661
42303,Married,12TH,38,M,28000,61,1.0,0,0.0,0,0,CC,668
38539,Married,GRADUATE,23,M,20000,28,1.0,0,1.0,0,0,PL,673
36403,Married,GRADUATE,28,M,52500,152,1.0,0,0.0,0,0,ConsumerLoan,672
49042,Married,SSC,30,M,25000,105,0.2,0,0.0,0,0,others,682
7284,Married,SSC,56,M,16000,365,0.5,0,0.0,0,0,ConsumerLoan,676
26212,Married,UNDER GRADUATE,40,M,32000,50,0.0,0,0.0,0,0,ConsumerLoan,676
1209,Married,12TH,43,F,21000,64,0.75,1,0.0,0,0,ConsumerLoan,693
10045,Married,PROFESSIONAL,42,M,40000,183,0.0,0,0.0,0,0,ConsumerLoan,677
35808,Single,GRADUATE,21,M,27000,54,0.0,0,0.0,0,0,others,659
19572,Married,OTHERS,42,F,25000,190,1.0,0,0.0,0,0,AL,678
25984,Married,GRADUATE,42,M,28000,306,1.0,0,0.0,0,0,others,677
38385,Married,POST-GRADUATE,26,M,10000,40,1.0,0,0.0,0,0,others,672
12970,Married,UNDER GRADUATE,32,M,35000,158,0.75,0,0.5,0,0,others,663
33870,Single,12TH,34,M,12000,30,1.0,0,0.0,0,0,ConsumerLoan,681
40571,Married,SSC,34,M,21500,102,1.0,0,0.0,0,0,others,685
18504,Single,GRADUATE,25,M,24000,89,1.0,0,0.0,0,0,others,671
4211,Married,GRADUATE,35,M,35000,143,1.0,0,0.0,0,0,AL,690
23383,Single,12TH,30,M,13500,32,1.0,0,0.0,0,0,others,688
